年級,向度,編號,班別,科目名稱,任課教授,"上課時數
1,中國語文知識與應用,7101174,1,"大學國文：佛教傳記文學
College Chinese: Buddhist Biographical Literature",鍾媄媜 ,"2
2/0/0",2,通識,"五2,3",共同教室大樓208,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101175,1,"大學國文：外籍生基礎中文專班
College Chinese: Basic Chinese Class for Foreign Students",陳逸根 ,"2
2/0/0",2,通識,"一10,11",共同教室大樓205,50,link,保留新生50人.本課程係為母語非中文之外籍生開設之僑外專班，需於開學後第二階段選課時透過加簽方式進行選課。
1,中國語文知識與應用,7101178,1,"大學國文：漢字與古代占卜
College Chinese: Chinese Character and Ancient Divination",張育州 ,"2
2/0/0",2,通識,"二2,3",共同教室大樓202,50,link,保留新生48人.第一階段限大一新生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101178,2,"大學國文：漢字與古代占卜
College Chinese: Chinese Character and Ancient Divination",張育州 ,"2
2/0/0",2,通識,"三2,3",共同教室大樓202,50,link,保留新生48人.第一階段限大一學生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,中國語文知識與應用,7101179,1,"大學國文：莊子
College Chinese: Zhuang-zi (The Philosophy of Zhuang-zi)",蘇韋菱 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓213,50,link,保留新生48人.第一階段限大一學生選修，第二階段開放全部年級學生選修；中文系學生不得選修；大三以上之學生，若尚未修習完「中文閱讀與生命書寫」，請於開學後至選課系統選修「大學國文」課程，以補足通識國文學分。
1,英文能力訓練,7102111,1,"實用英語表達（基礎班）
Practical English Usage (Pre-intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"二2,3",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「基礎班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102111,2,"實用英語表達（基礎班）
Practical English Usage (Pre-intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"二10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「基礎班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102111,3,"實用英語表達（基礎班）
Practical English Usage (Pre-intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"三2,3",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「基礎班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102111,4,"實用英語表達（基礎班）
Practical English Usage (Pre-intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"四2,3",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「基礎班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,1,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"一8,9",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,2,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"一8,9",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,3,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"一10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,4,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"一10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,5,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"二2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,6,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"二10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,7,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"二10,11",語言中心語言教室226,30,link,"保留新生27人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,8,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"三2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,9,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"三2,3",語言中心語言教室226,30,link,"保留新生27人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,10,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,11,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,12,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室226,30,link,"保留新生27人.支援文學院碩士班四年級. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,13,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"四2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,14,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,15,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",吳永倩 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,16,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",康惠晴 ,"2
2/0/0",2,通識,"五2,3",語言中心語言教室224,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102121,17,"實用英語技巧（強化班）
Practical English Usage (Intermediate Level)",賴郁寗 ,"2
2/0/0",2,通識,"五2,3",語言中心語言教室225,40,link,"保留新生37人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門），第一階段每班開放3個名額供大二以上選修；2)限英文程度認定為「強化班」者選修；3)第1次上課務必出席；4)新生若自行退選預載課程再選課，則由系統進行額滿篩選；5)外文系生不得選修；7)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102131,1,"實用英語（整合技巧）
Practical English Usage (Integrated skills)",楊岳龍 ,"2
2/0/0",2,通識,"三10,11",語言中心語言教室227,30,link,"保留新生20人. ,列入國際菁英學分學程科目1)本課程為大一通識必修（第1學期實用、第2學期應用，各需選修1門）；2)限英文程度認定為需選修「整合技巧」者；3)第1次上課務必出席；4)外文系生不得選修；5)聯合國永續發展(SDGs)對應目標：4.4-4.7。*Attendance at the first class session is mandatory. Students must attend the first class session to complete the placement test."
1,英文能力訓練,7102231,1,"應用英語（整合技巧）
English Communication Skills (Integrated skills)",李佳家 ,"2
2/0/0",2,通識,"四10,11",語言中心語言教室224,40,link,.1)本課程為大一通識必修(第1學期實用、第2學期應用，各需選修1門)，為利課程改制大二以上學生銜接，本學期加開1班應用課程；2)限英文程度認定為「整合技巧」者選修；3)若該課程選修人數超過限修人數，則由選課系統進行篩選。建議先選擇尚未額滿之課程時段；4)第一次上課務必出席；5)外文系生不得選修；6)聯合國永續發展(SDGs)對應目標：4.4-4.7。(Attendance at the first class session is mandatory. Students must be present at the first class session to complete the placement test.)
2,自然科學與技術,7201002,1,"數學的過去與未來
The Past and Future of Mathematics",余文卿 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓212,90,link,保留新生25人; 擋修數學系生醫系電機系化工系通訊系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
2,自然科學與技術,7204004,1,"機率與人生
Probability in Life",陳仁義 ,"2
2/0/0",2,通識,"五4,5",電算中心217教室,40,link,保留新生11人; 擋修數學系社福系心理系資工系電機系通訊系經濟學系財金系企管系會資系資管系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7300006,1,"音樂文創與文案書寫
Creative Writing of Music and Project Design",李映瑾 ,"2
2/0/0",2,通識,"二8,9",共同教室大樓202,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7300006,2,"音樂文創與文案書寫
Creative Writing of Music and Project Design",李映瑾 ,"2
2/0/0",2,通識,"四8,9",共同教室大樓202,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,公民與社會參與,7300007,1,"文化資產保存與法規
Cultural Property and Regulations",蘇全正 ,"2
2/0/0",2,通識,"二7,8",共同教室大樓321,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301036,1,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301036,2,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"三4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301036,3,"日文（一）
Japanese (I)",竹田理恵 ,"2
2/0/0",2,通識,"四4,5",共同教室大樓321,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301037,1,"日文（二）
Japanese (II)",竹田理恵 ,"2
2/0/0",2,通識,"五4,5",共同教室大樓321,60,link,先修科目(7301036)日文（一）(及格) 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301037,2,"日文（二）
Japanese (II)",竹田理恵 ,"2
2/0/0",2,通識,"五8,9",共同教室大樓321,60,link,先修科目(7301036)日文（一）(及格) 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301038,1,"德文（一）
German (I)",楊美娟 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓213,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301040,1,"法文（一）
French (I)",陳泓光 ,"2
2/0/0",2,通識,"三8,9",文學院136,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301042,1,"西班牙文（一）
Spanish (I)",李優俐 ,"2
2/0/0",2,通識,"五2,3",文學院136,60,link,保留新生18人; 擋修外文系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,基礎概論課程,7301049,1,"初級印尼語
Beginning Indonesian
(全英語授課/English-taught) ",何德華 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓121,40,link,"保留新生18人. ,列入東協與南亞法制學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301051,1,"台語文會話（一）
Taiwanese Conversation(I)",陳瀅州 ,"2
2/0/0",2,通識,"五7,8",共同教室大樓203,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301052,1,"台語文讀寫
Taiwanese Reading and Writing",陳瀅州 ,"2
2/0/0",2,通識,"四7,8",共同教室大樓203,60,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301058,1,"越南語基礎會話
Vietnamese Basic Conversation",胡秋莊 ,"2
2/0/0",2,通識,"五2,3",共同教室大樓207,60,link,"保留新生11人. ,列入東協與南亞法制學分學程科目限越南語零基礎之學生修習；選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,基礎概論課程,7301060,1,"基礎古希臘文
Basic Ancient Greek",黃俊龍 ,"2
2/0/0",2,通識,"四7,8",共同教室大樓213,62,link,保留新生18人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302019,1,"世界史的視野
The Perspective of World History",方志強 ,"2
2/0/0",2,通識,"五2,3",文學院118,40,link,保留新生11人; 擋修歷史系.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302045,1,"臺灣民間信仰與生命關懷
Taiwan Folk Belief and Life Concern",蘇全正 ,"2
2/0/0",2,通識,"二10,11",共同教室大樓321,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7302046,1,"敦煌的文獻與石窟藝術
Dunhuang Literature and Grotto Art",李映瑾 ,"2
2/0/0",2,通識,"二4,5",共同教室大樓202,60,link,保留新生18人.選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。
3,人文思維與生命探索,7302049,1,"臺灣原住民族的社會與人文
The Social and Humanistic Customs of Taiwan? Indigenous People",童信智 ,"2
2/0/0",2,通識,"三4,5",共同教室大樓213,62,link,"保留新生18人. ,列入本土語言與文化實踐學分學程科目 ,列入原住民族語言、文化創意與應用學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
3,人文思維與生命探索,7302051,1,"臺灣原住民族家庭文化
Family culture of Taiwanese Indigenous Peoples",王怡婷 ,"2
2/0/0",2,通識,"四4,5",共同教室大樓213,62,link,"保留新生18人. ,列入原住民族語言、文化創意與應用學分學程科目選課前請至通識教育中心網頁瀏覽各學系不採計通識課程列表。"
